Anxiety,anxiety
Anxiety attacks,anxiety
Anxiety panic,anxiety
Anxiety panic attacks,anxiety
Anxiousness,anxiety
Extreme anxiety,anxiety
Generalized anxiety,anxiety
Heightened anxiety,anxiety
Mind racing,anxiety
Panic,anxiety
Panic attacks,anxiety
Situational anxiety,anxiety
Brain fog,brain fog
Fogginess,brain fog
Foggy brain,brain fog
Foggy thinking,brain fog
Mental fog,brain fog
Mental fogginess,brain fog
angina,chest pain
Angina,chest pain
Chest heaviness,chest pain
Chest pain,chest pain
Chest tightness,chest pain
CP,chest pain
Inflammation of heart muscle,chest pain
Clear phlegm,cough
Cold,cough
Cough,cough
Coughing,cough
Coughing fits,cough
Coughing jags,cough
Coughing spells,cough
Dry cough,cough
Dry nonproductive cough,cough
Hacking cough,cough
Mildly productive cough,cough
Nagging cough,cough
Nonproductive cough,cough
Occasionally productive,cough
Phlegm production,cough
Productive cough,cough
Rattling,cough
Sputum production,cough
URI,cough
URI symptoms,cough
Bipolar,depression
Bipolar disorder,depression
Depressed,depression
Depression,depression
Dysthymia,depression
Situational depression,depression
Dizzines,dizziness
Dizziness,dizziness
dizziness,dizziness
dizziness,dizziness
dizziness,dizziness
Dizzy,dizziness
Dizzy spell,dizziness
Dizzy spells,dizziness
Dizzy upon standing,dizziness
Feeling dizzy,dizziness
Feeling light headed,dizziness
Feeling lightheaded,dizziness
Feeling woozy,dizziness
Feels dizzy,dizziness
Feels lightheaded,dizziness
Light headed,dizziness
Light headedness,dizziness
Lightheaded,dizziness
Lightheadedness,dizziness
Lightheadness ,dizziness
Room spinning,dizziness
Room spinning sensation,dizziness
Slightly dizzy,dizziness
Spinning sensation,dizziness
Vertiginous symptoms,dizziness
Vertigo,dizziness
Wooziness,dizziness
Woozy feeling,dizziness
Breathlessness,dyspnea
Difficulty breathing,dyspnea
DOE,dyspnea
Dyspnea ,dyspnea
Dyspnea on exertion,dyspnea
Shortness of breath,dyspnea
SOB,dyspnea
Exhaustion,fatigue
Extreme fatigue,fatigue
Fatigue,fatigue
Feeling faint,fatigue
Feeling fatigued,fatigue
Feeling weak,fatigue
Generalized fatigue,fatigue
Loss of energy,fatigue
Malaise ,fatigue
No energy,fatigue
Poor exercise tolerance,fatigue
Post-exertional malaise,fatigue
Profound fatigue,fatigue
Tiredness,fatigue
weakness,fatigue
Elevated temp,fever
Elevated temperature,fever
F/C ,fever
Febrile,fever
Fever,fever
fever/chills,fever
High Temp,fever
High Temperature,fever
Hyperpyrexia,fever
Hyperthermia,fever
Intermittent fever,fever
Alopecia,hair loss
